NAME,B01001_001E,state,county,tract,block group
Block Group 2; Census Tract 903.03; Cherokee County; Georgia,2409,13,057,090303,2
Block Group 3; Census Tract 903.03; Cherokee County; Georgia,1951,13,057,090303,3
Block Group 1; Census Tract 904.01; Cherokee County; Georgia,3317,13,057,090401,1
Block Group 2; Census Tract 904.01; Cherokee County; Georgia,2437,13,057,090401,2
Block Group 1; Census Tract 904.02; Cherokee County; Georgia,1753,13,057,090402,1
Block Group 2; Census Tract 904.02; Cherokee County; Georgia,2244,13,057,090402,2
Block Group 3; Census Tract 904.02; Cherokee County; Georgia,1907,13,057,090402,3
Block Group 1; Census Tract 905.03; Cherokee County; Georgia,693,13,057,090503,1
Block Group 2; Census Tract 905.03; Cherokee County; Georgia,2356,13,057,090503,2
Block Group 3; Census Tract 905.03; Cherokee County; Georgia,1321,13,057,090503,3
Block Group 1; Census Tract 905.04; Cherokee County; Georgia,2781,13,057,090504,1
Block Group 2; Census Tract 905.04; Cherokee County; Georgia,2604,13,057,090504,2
Block Group 1; Census Tract 905.05; Cherokee County; Georgia,2075,13,057,090505,1
Block Group 2; Census Tract 905.05; Cherokee County; Georgia,1976,13,057,090505,2
Block Group 3; Census Tract 905.05; Cherokee County; Georgia,978,13,057,090505,3
Block Group 1; Census Tract 905.06; Cherokee County; Georgia,2108,13,057,090506,1
Block Group 2; Census Tract 905.06; Cherokee County; Georgia,2273,13,057,090506,2
Block Group 1; Census Tract 905.07; Cherokee County; Georgia,2004,13,057,090507,1
Block Group 2; Census Tract 905.07; Cherokee County; Georgia,914,13,057,090507,2
Block Group 1; Census Tract 906.03; Cherokee County; Georgia,1852,13,057,090603,1
Block Group 2; Census Tract 906.03; Cherokee County; Georgia,2285,13,057,090603,2
Block Group 3; Census Tract 906.03; Cherokee County; Georgia,2867,13,057,090603,3
Block Group 1; Census Tract 906.04; Cherokee County; Georgia,1135,13,057,090604,1
Block Group 2; Census Tract 906.04; Cherokee County; Georgia,2201,13,057,090604,2
Block Group 1; Census Tract 906.05; Cherokee County; Georgia,2254,13,057,090605,1
Block Group 2; Census Tract 906.05; Cherokee County; Georgia,1891,13,057,090605,2
Block Group 1; Census Tract 906.06; Cherokee County; Georgia,720,13,057,090606,1
Block Group 2; Census Tract 906.06; Cherokee County; Georgia,1805,13,057,090606,2
Block Group 3; Census Tract 906.06; Cherokee County; Georgia,1840,13,057,090606,3
Block Group 1; Census Tract 907.03; Cherokee County; Georgia,1761,13,057,090703,1
Block Group 2; Census Tract 907.03; Cherokee County; Georgia,2064,13,057,090703,2
Block Group 3; Census Tract 907.03; Cherokee County; Georgia,1577,13,057,090703,3
Block Group 1; Census Tract 907.04; Cherokee County; Georgia,1979,13,057,090704,1
Block Group 2; Census Tract 907.04; Cherokee County; Georgia,2480,13,057,090704,2
Block Group 1; Census Tract 907.05; Cherokee County; Georgia,1430,13,057,090705,1
Block Group 2; Census Tract 907.05; Cherokee County; Georgia,1294,13,057,090705,2
Block Group 1; Census Tract 907.06; Cherokee County; Georgia,2913,13,057,090706,1
Block Group 2; Census Tract 907.06; Cherokee County; Georgia,1928,13,057,090706,2
Block Group 1; Census Tract 907.07; Cherokee County; Georgia,2784,13,057,090707,1
